id,name,category,price,isOfferApplied,discountPercentage,priceAfterDiscount
,watch,Sports Equipment,3251.54,FALSE,70.63,3773.05
,watch,Toys,2222.71,FALSE,52.35,4636.77
,jacket,Books,4869.56,TRUE,24.18,561.28
,shoes,Electronics,3899.96,FALSE,49.41,2362.41
,jacket,Toys,2573.93,FALSE,64.11,670.76
,socks,Home Decor,17.68,FALSE,37.7,2957.15
,shirt,Books,4323.62,TRUE,10.8,2831.58
,hat,Electronics,962.01,FALSE,10.16,4791.42
,shirt,Electronics,4109.81,TRUE,52.04,2672.37
,watch,Sports Equipment,4163.59,FALSE,88.81,1619.24
,scarf,Home Decor,2418.27,FALSE,69.35,304.19
,hat,Sports Equipment,3133.52,FALSE,41.82,3685.52
,gloves,Books,4810.83,FALSE,15.74,398.25
,hat,Books,384.08,TRUE,76.9,436.03
,watch,Sports Equipment,3108.77,TRUE,80.93,3484.16
,pants,Sports Equipment,2680.85,FALSE,72.71,1524.52
,jacket,Books,4310,TRUE,48.03,4640.16
,gloves,Toys,1909.93,TRUE,75.46,817.96
,shoes,Clothing,4120.72,FALSE,35.39,880.53
,watch,Electronics,843.6,TRUE,31.94,4571.43
,watch,Sports Equipment,4922.37,FALSE,88.02,1131.56
,gloves,Home Decor,3257.97,FALSE,4.85,3814.08
,jacket,Sports Equipment,1058.04,TRUE,30.93,4724.56
,shoes,Toys,1502.08,FALSE,46.46,529.21
,hat,Toys,2507.39,FALSE,63.69,2912.11
,hat,Sports Equipment,3931.04,FALSE,26.47,503.65
,watch,Electronics,4886.06,FALSE,54.48,144.49
,socks,Home Decor,2316.09,TRUE,30.16,2802.77
,belt,Electronics,4414.05,TRUE,4.17,2763.9
,socks,Sports Equipment,2903.97,FALSE,73.93,2401.33
,pants,Electronics,3432.91,FALSE,26.94,3555.36
,jacket,Electronics,2111.06,TRUE,78.25,3733.41
,scarf,Toys,1983.15,TRUE,22.05,1167.78
,watch,Home Decor,2365.65,FALSE,22.79,1926.84
,belt,Books,3942.2,FALSE,99.43,1670.92
,scarf,Clothing,4301.23,FALSE,16.89,3721.48
,belt,Books,3170.99,TRUE,63.62,3460.34
,socks,Clothing,229.49,TRUE,60.19,1436.75
,shoes,Electronics,1070.17,TRUE,81.62,3163.88
,belt,Electronics,4560.82,TRUE,80.1,4665.35
,watch,Toys,2059.67,TRUE,28.49,1355.82
,hat,Electronics,987.18,FALSE,8.5,853.62
,scarf,Sports Equipment,889.58,TRUE,75.23,482.77
,shoes,Sports Equipment,4124.05,FALSE,1.26,4082.74
,scarf,Books,2020.88,TRUE,92.44,129.23
,socks,Home Decor,4721.14,TRUE,83.49,564.55
,belt,Sports Equipment,4832.51,TRUE,50.22,1175.65
,shirt,Sports Equipment,3318.6,TRUE,23.67,4167.41
,shoes,Books,2912.89,TRUE,40.84,4799.77
,socks,Clothing,836.18,FALSE,40.6,3647.67
,shoes,Sports Equipment,3881.75,TRUE,66.61,3555.36
,scarf,Books,262.96,FALSE,48.8,3488.92
,hat,Books,3260.23,TRUE,89.48,3740.9
,jacket,Clothing,370.26,FALSE,64.44,2103.43
,hat,Home Decor,1607,TRUE,67.72,1461.06
,socks,Books,119.6,FALSE,5.52,2779.17
,watch,Home Decor,3117.39,FALSE,0.79,1811.72
,gloves,Electronics,1951.24,FALSE,74.91,2578.83
,scarf,Toys,1091.61,TRUE,97.02,4709.9
,jacket,Sports Equipment,1308.84,FALSE,58.25,3918.7
,belt,Books,4887.7,FALSE,97.58,1416.33
,jacket,Sports Equipment,2738.82,TRUE,2.65,4357.15
,jacket,Home Decor,3203.34,TRUE,87.11,3363.95
,jacket,Electronics,1288.47,TRUE,94.77,2555.86
,pants,Home Decor,982.83,FALSE,96.79,3629.39
,socks,Home Decor,3942.23,TRUE,35.23,2591.88
,shirt,Sports Equipment,3080.34,TRUE,84.14,2940.42
,pants,Sports Equipment,298.94,FALSE,80.74,3648.73
,gloves,Electronics,2567.09,TRUE,71.11,1809.15
,jacket,Books,1909.87,FALSE,34.26,575.07
,gloves,Electronics,87.79,TRUE,99.23,2629.79
,shoes,Home Decor,2741.24,TRUE,3.88,3794.48
,gloves,Toys,2239.27,TRUE,38.42,1576.35
,shoes,Toys,4964.59,TRUE,70.83,2462.27
,belt,Toys,3285.84,TRUE,37.17,2155.87
,scarf,Home Decor,253.83,FALSE,34.12,762.92
,gloves,Clothing,2515.22,TRUE,54.26,3635.99
,watch,Sports Equipment,1501.9,FALSE,60.32,1359.42
,scarf,Books,4309.8,TRUE,43.72,1643.65
,shirt,Home Decor,1956.96,FALSE,16.76,1997.2
,belt,Clothing,4578.03,TRUE,46.35,326.83
,watch,Sports Equipment,4687.84,FALSE,27.02,746.21
,watch,Home Decor,1385.15,FALSE,45.34,1703.72
,pants,Clothing,4735.3,FALSE,10.22,964.14
,socks,Electronics,908.13,FALSE,62.11,4462.2
,shoes,Toys,246.94,TRUE,62.5,543.82
,shoes,Home Decor,4509.43,TRUE,36.84,2197.07
,gloves,Clothing,3385.48,FALSE,35,3525.44
,jacket,Clothing,2408.73,TRUE,17.33,1565.06
,hat,Books,1846.05,FALSE,94.79,1513.5
,shirt,Electronics,1898.86,TRUE,97.65,3852.07
,belt,Clothing,4868.66,TRUE,22.48,2068.73
,jacket,Books,2334.92,FALSE,36.76,868.93
,watch,Electronics,2631.72,TRUE,24.88,2271.49
,shirt,Sports Equipment,37.36,FALSE,42.29,1088.89
,scarf,Books,2962.91,TRUE,40.77,4272.84
,jacket,Toys,3646.68,FALSE,88.88,3928.31
,gloves,Sports Equipment,3764.98,TRUE,86.16,1018.34
,belt,Electronics,798.82,FALSE,98.24,1552.85
,shoes,Clothing,944.61,FALSE,25.09,2368.71
,belt,Electronics,4679.51,TRUE,37.16,28.69
,pants,Toys,305.09,FALSE,5.76,2730.83
,socks,Home Decor,1530.89,TRUE,40.03,896.05
,watch,Clothing,2589.99,FALSE,49.51,3127.28
,jacket,Clothing,2899.78,FALSE,68.92,3043.13
,shirt,Sports Equipment,3491.32,TRUE,88.19,1972.61
,pants,Electronics,2063.6,FALSE,26.78,2418.17
,watch,Electronics,1727.47,TRUE,40.69,1157.63
,gloves,Electronics,646.23,FALSE,75.75,1105.86
,scarf,Sports Equipment,2863.75,TRUE,64.54,1138.26
,pants,Toys,217.46,TRUE,86.82,3649.29
,belt,Toys,4196.96,FALSE,34.57,4634.26
,watch,Toys,3977.76,FALSE,84.88,4257.63
,gloves,Clothing,2579.64,TRUE,71.23,4123.41
,hat,Home Decor,3673.55,FALSE,80.43,1226.63
,socks,Electronics,3498.28,FALSE,53.74,269.1
,shoes,Home Decor,4897.58,FALSE,34.79,3030.8
,pants,Electronics,2413.32,TRUE,72.85,3098.87
,scarf,Books,390.72,FALSE,61.4,3466.85
,gloves,Sports Equipment,513.84,FALSE,26.51,52.91
,hat,Books,2542.03,FALSE,23.53,3065.61
,scarf,Sports Equipment,157.1,TRUE,84.31,2349.52
,shoes,Sports Equipment,3911.32,FALSE,89.79,4504.65
,hat,Books,4076.86,TRUE,76.55,74.21
,belt,Home Decor,476.42,FALSE,72.83,2955.85
,scarf,Clothing,4498.99,TRUE,91.32,1234.98
,pants,Clothing,313.15,TRUE,31.34,1336.72
,gloves,Clothing,2289.51,FALSE,75.75,3007.92
,watch,Electronics,2565,FALSE,57.13,4135.44
,watch,Clothing,978.87,FALSE,68.25,3135.51
,socks,Electronics,4607.04,FALSE,79.39,3394.1
,scarf,Toys,2476.36,FALSE,85.32,4981.81
,jacket,Clothing,2572.66,TRUE,16.59,44.71
,belt,Sports Equipment,3063.28,TRUE,7.68,1222.79
,scarf,Home Decor,1331.96,FALSE,80.57,2818.32
,shoes,Electronics,575.08,FALSE,10.16,4226.64
,belt,Home Decor,569.84,TRUE,66.48,2871.93
,jacket,Clothing,4032.83,TRUE,34.34,230.12
,pants,Electronics,1649.86,FALSE,43.94,1564.2
,belt,Electronics,4311.33,FALSE,91.97,4231.06
,shoes,Home Decor,1355.27,FALSE,1.31,4088.43
,gloves,Electronics,2302.79,TRUE,45.8,1924.72
,watch,Books,865.45,FALSE,45.72,938.71
,socks,Sports Equipment,4657.92,TRUE,53.87,1790.78
,socks,Electronics,976.55,FALSE,59.45,2235.99
,shirt,Clothing,559.37,FALSE,25.82,3890.18
,shirt,Books,2331.35,FALSE,8.31,3228.23
,pants,Toys,4018.89,FALSE,32.97,2553.49
,hat,Home Decor,4896.13,FALSE,55.85,2236.32
,shoes,Sports Equipment,2717.29,TRUE,33.28,225.05
,shoes,Clothing,2890.54,TRUE,4.05,4730.74
,hat,Sports Equipment,4162.4,TRUE,76.68,3557.44
,pants,Toys,4740.81,FALSE,81.29,4652.27
,shoes,Home Decor,1157.83,TRUE,49.64,2000.11
,scarf,Books,1040.82,FALSE,69.23,3211.35
,watch,Toys,14.63,FALSE,10.16,246.38
,socks,Toys,373.41,FALSE,64.77,4583.93
,shirt,Electronics,3076.74,FALSE,30.96,494.22
,jacket,Sports Equipment,1370.71,FALSE,99.63,546.02
,belt,Books,2079.64,TRUE,14.07,448.91
,jacket,Sports Equipment,2877.41,FALSE,69.56,4292.62
,watch,Electronics,4083.5,FALSE,3.59,2509.22
,scarf,Clothing,1362.27,FALSE,36.01,1109.84
,socks,Sports Equipment,3085.39,FALSE,25.43,1544.75
,watch,Toys,2454.14,FALSE,35.94,3630.63
,belt,Books,880.1,TRUE,91.99,2569.35
,belt,Books,1491.19,FALSE,96.75,2657.34
,gloves,Clothing,209.48,FALSE,35.57,95.22
,hat,Electronics,95.77,FALSE,81.2,1948.35
,gloves,Electronics,3746.59,TRUE,40.74,1707.73
,socks,Electronics,1737.27,TRUE,83.33,4456.05
,belt,Home Decor,3446.96,TRUE,53.07,3752.97
,watch,Electronics,1744.51,FALSE,84.84,3595.06
,belt,Home Decor,3425.42,TRUE,21.1,1815.25
,gloves,Clothing,4601.15,TRUE,78.48,1473.18
,belt,Electronics,4012.3,FALSE,63.99,4693.09
,shoes,Sports Equipment,2719.04,TRUE,63.02,2825.15
,gloves,Clothing,3152.79,TRUE,50.87,4101.33
,belt,Toys,535.77,TRUE,71.99,1723.52
,hat,Sports Equipment,2726.92,FALSE,39.41,4918.25
,jacket,Clothing,2085.41,FALSE,25.95,3587.75
,socks,Toys,1373.23,FALSE,81.95,1752.95
,hat,Electronics,2524.85,FALSE,43.93,2680.24
,hat,Sports Equipment,3806.8,TRUE,25.42,1381.63
,watch,Home Decor,4012.15,TRUE,37.31,2022.56
,watch,Clothing,4267.47,FALSE,85.23,795.92
,hat,Electronics,2238.36,FALSE,75.38,679.32
,socks,Electronics,3309.99,FALSE,62.79,607.36
,belt,Home Decor,1433.03,FALSE,58.42,563.54
,hat,Sports Equipment,3996.41,FALSE,47.54,2061.91
,jacket,Clothing,442.81,TRUE,72.6,2332.29
,watch,Electronics,2311.98,FALSE,67.09,3857.56
,watch,Electronics,4654,TRUE,63.52,3159.02
,hat,Toys,2845.39,TRUE,77.85,1269.65
,jacket,Toys,3038.34,FALSE,21.16,3671.62
,watch,Sports Equipment,4875.51,TRUE,28.46,1798.53
,scarf,Electronics,1203,TRUE,76.01,4476.86
,watch,Toys,2666.01,FALSE,79.19,2717.9
,watch,Electronics,785.3,TRUE,53.36,360.73
,jacket,Clothing,4875.88,FALSE,29.18,4569.58
,shoes,Home Decor,2123.02,TRUE,61.03,2091.48
,shirt,Sports Equipment,3968.09,TRUE,5.84,2820.49
,pants,Toys,2422.01,FALSE,44.44,4710.1
,hat,Books,3927.36,TRUE,29.8,525.97
,shoes,Toys,3937.63,FALSE,95.47,3624.15
,hat,Clothing,679.88,FALSE,54.46,2360.22
,pants,Toys,4026.69,FALSE,68.77,3933.34
,shoes,Books,3449.96,FALSE,70.22,4865.35
,belt,Sports Equipment,237.53,TRUE,80.88,1774.72
,belt,Books,4643.43,FALSE,37.32,3066.65
,shirt,Home Decor,4370.19,TRUE,3.22,1730.71
,shoes,Electronics,2163.78,FALSE,93.95,2181.87
,socks,Toys,665.61,FALSE,81.65,139.38
,watch,Books,2952.13,TRUE,29.9,2755.55
,scarf,Clothing,2118.71,TRUE,59.07,4563.16
,watch,Books,1969.03,TRUE,70.17,568.89
,shoes,Sports Equipment,4908.13,TRUE,90.88,1141.21
,shoes,Clothing,1086.91,TRUE,68.75,941.55
,jacket,Toys,2251.41,FALSE,97.29,2056.81
,gloves,Home Decor,2661.55,TRUE,49.47,4085.83
,hat,Toys,3580.69,TRUE,12.37,2415.6
,gloves,Electronics,2716.89,TRUE,72.37,4177.21
,socks,Toys,4345.65,FALSE,16.22,2772.08
,watch,Sports Equipment,4810.95,TRUE,51.67,3231.71
,hat,Clothing,1173.57,TRUE,26.03,1488.84
,scarf,Electronics,3915.52,FALSE,7.23,4198.6
,watch,Electronics,847.3,FALSE,62.67,2631.13
,hat,Home Decor,3155.22,FALSE,11.54,4187.53
,socks,Sports Equipment,3026.31,TRUE,51.35,4094.13
,shoes,Toys,138.08,TRUE,60.55,2860.55
,pants,Electronics,2109.51,FALSE,78.51,3798.44
,socks,Clothing,1141.17,FALSE,23.45,1309.95
,scarf,Books,414.06,TRUE,9.74,4264.5
,scarf,Electronics,2233.51,FALSE,93.56,2359.7
,shoes,Electronics,2621.96,TRUE,48.36,2397.46
,watch,Books,4694.03,FALSE,60.65,4686
,hat,Sports Equipment,196.05,TRUE,83.97,3005.95
,hat,Clothing,428.64,TRUE,62.43,777.81
,shoes,Home Decor,738.3,TRUE,64.71,590.8
,hat,Home Decor,582.07,TRUE,72.64,2748.2
,gloves,Toys,1959.28,FALSE,19.34,3630.42
,watch,Home Decor,3808.94,TRUE,89.94,1790.31
,belt,Books,1136.62,FALSE,52.9,1165
,shirt,Home Decor,2471.47,TRUE,36.9,1608.44
,shoes,Toys,1433.29,FALSE,3.79,436.68
,jacket,Sports Equipment,1195.08,FALSE,41.97,2588.72
,shoes,Books,604.8,FALSE,46.62,32.28
,scarf,Clothing,1775.14,FALSE,96.59,627.79
,jacket,Books,3076.77,FALSE,65.84,2135.03
,watch,Toys,4640.42,FALSE,41.33,1041.73
,scarf,Clothing,2594.06,TRUE,24.8,625.81
,pants,Electronics,3368.54,FALSE,4.21,2107.6
,belt,Toys,4247.77,FALSE,91.23,3727.92
,gloves,Books,1158.86,TRUE,68.16,4272.97
,shirt,Sports Equipment,4912.07,TRUE,59.89,4540.89
,shirt,Clothing,3376.46,FALSE,0.69,3246.83
,scarf,Clothing,3238.87,TRUE,18.67,2005.39
,hat,Toys,388.67,TRUE,60.18,3269.71
,hat,Toys,2250.33,FALSE,12.63,1152.93
,pants,Clothing,2252.24,TRUE,35.24,4117.18
,jacket,Home Decor,4744.65,FALSE,29.71,4270.13
,shirt,Electronics,363.48,FALSE,0.15,967.93
,belt,Home Decor,124.7,FALSE,6.53,541.77
,socks,Home Decor,4143.24,FALSE,21.93,4279.6
,watch,Clothing,1309.29,FALSE,83.87,34.13
,shirt,Home Decor,3989.49,FALSE,5.31,4680.27
,socks,Electronics,2344.86,FALSE,54.07,4171.59
,scarf,Toys,4992.13,FALSE,14.69,4755.86
,belt,Books,2750.39,TRUE,43.75,772.19
,jacket,Electronics,3865.25,TRUE,59.37,1153.15
,gloves,Electronics,597.56,TRUE,47.12,4323.73
,shoes,Clothing,3940.64,FALSE,95.88,3015.94
,watch,Clothing,3005.99,FALSE,33.97,3855.47
,scarf,Clothing,2164.68,FALSE,94.94,162.19
,hat,Home Decor,1743.23,TRUE,25.08,1892.98
,shoes,Books,2338.87,FALSE,31.82,1375.35
,hat,Toys,3628.59,FALSE,89.14,838.36
,gloves,Toys,826.82,TRUE,75.99,3625.85
,pants,Electronics,3887.65,TRUE,67.31,2509.96
,shoes,Books,1071.92,FALSE,99.91,4739.05
,scarf,Home Decor,2609.39,TRUE,85.28,384.07
,socks,Home Decor,4680.43,TRUE,67.57,2397.92
,shoes,Clothing,2889.94,TRUE,25.56,4725.01
,socks,Books,1706.06,FALSE,36.02,1002.76
,jacket,Clothing,4585.86,FALSE,15.98,373.8
,belt,Books,1407.97,TRUE,61.64,2882.96
,gloves,Toys,2475.47,FALSE,58.58,1496.89
,hat,Toys,3969.06,FALSE,62.29,1839.84
,pants,Books,416.6,TRUE,21.97,3913.38
,belt,Sports Equipment,4786.18,FALSE,85.74,1134.1
,pants,Home Decor,4982.29,FALSE,0.96,4480.72
,socks,Books,4439.53,TRUE,16.23,108.67
,gloves,Toys,4362.3,TRUE,86.58,2074.23
,watch,Sports Equipment,4958.53,TRUE,84.13,2246.32
,scarf,Toys,662.89,TRUE,76.42,673.74
,hat,Sports Equipment,150.34,FALSE,11.16,4020.98
,belt,Clothing,1403.05,TRUE,92.94,1127.69
,socks,Electronics,3916.84,FALSE,99.17,3525.6
,belt,Toys,4179.17,TRUE,95.61,599.94
,gloves,Books,24.93,FALSE,2.57,1359.7
,watch,Clothing,2258.39,FALSE,0.43,124.08
,jacket,Home Decor,3202.55,FALSE,10.51,4606.14
,scarf,Electronics,2103.97,TRUE,87.1,1223.9
,pants,Sports Equipment,2095.17,TRUE,1.35,2815.83
,shoes,Sports Equipment,3230.19,TRUE,75.38,465.2
,jacket,Toys,501.04,FALSE,33.92,3768.83
,watch,Clothing,2519.27,FALSE,15.01,1371.95
,jacket,Books,4311.6,FALSE,39.23,4289.07
,shirt,Books,3968.69,TRUE,17.3,4961.06
,pants,Electronics,3482.64,TRUE,37.14,510.3
,gloves,Home Decor,3895.5,FALSE,88.36,4167.94
,pants,Home Decor,236.14,FALSE,82.44,826.53
,gloves,Sports Equipment,1875.88,FALSE,7.78,3480.16
,shirt,Clothing,1443.1,FALSE,32.53,765.53
,shoes,Home Decor,1105.34,FALSE,32.9,773.48
,shirt,Toys,2394.82,TRUE,6.27,2785.22
,socks,Toys,2416.58,FALSE,27.12,4078.18
,hat,Home Decor,3267.16,FALSE,19.93,3760.65
,jacket,Electronics,3025.92,TRUE,88.05,1927.23
,belt,Toys,2015.38,TRUE,56.41,4126.57
,pants,Clothing,3638.26,TRUE,15.4,4555.83
,hat,Toys,1607.8,FALSE,17.04,3482.5
,jacket,Clothing,4925.23,TRUE,78.82,1736.4
,hat,Clothing,3342.58,TRUE,31.39,3872.96
,hat,Clothing,2572.19,TRUE,60.44,1594.24
,scarf,Sports Equipment,2274.89,FALSE,16.81,3369.02
,gloves,Electronics,4237.34,TRUE,98.69,4839.59
,jacket,Sports Equipment,2643.1,FALSE,68.46,3084.17
,shoes,Electronics,765.3,TRUE,93.03,1855.86
,belt,Clothing,2003.86,TRUE,5.28,255.01
,jacket,Electronics,681.03,TRUE,76.34,2142.18
,jacket,Clothing,145.2,TRUE,33.19,2240.3
,watch,Books,3253.73,FALSE,26.61,2805.08
,shirt,Clothing,4354.54,TRUE,17.16,864.02
,jacket,Clothing,3306.56,FALSE,96.63,2296.4
,belt,Home Decor,4590.5,FALSE,97,49.45
,hat,Sports Equipment,4317.85,FALSE,6.04,1136.41
,socks,Clothing,2539.95,FALSE,87.9,3389.8
,shoes,Clothing,3403.31,FALSE,62.68,2740.78
,shirt,Sports Equipment,3332.19,TRUE,42.9,300.21
,pants,Clothing,3369.33,TRUE,60.45,3383.04
,gloves,Clothing,4701.82,TRUE,84.93,910.09
,socks,Toys,4946.54,FALSE,15.46,2935.9
,gloves,Home Decor,359.07,FALSE,89.14,2526.77
,pants,Books,2491.81,TRUE,10.02,3612.38
,watch,Home Decor,1340.73,FALSE,44.81,209.44
,hat,Toys,726.43,TRUE,78.4,4967.94
,hat,Electronics,1371.76,FALSE,74.96,3797.2
,pants,Sports Equipment,4488.03,TRUE,35.43,2258.97
,jacket,Clothing,2029.08,TRUE,40.93,3216.68
,gloves,Electronics,1762.55,FALSE,78.14,2427.91
,pants,Sports Equipment,2572.85,TRUE,48.13,1066.04
,belt,Home Decor,3402.95,FALSE,24.49,2617.6
,watch,Books,1149.05,TRUE,96.84,4550.61
,shoes,Electronics,1201.76,TRUE,97.09,692.7
,hat,Books,2887.66,TRUE,55.78,1551.94
,pants,Clothing,2669.19,TRUE,29.17,1329.23
,gloves,Books,2709.99,FALSE,30.18,48.5
,scarf,Electronics,4925.65,FALSE,50.14,2072.67
,shirt,Books,2607.34,FALSE,76.05,2007.39
,watch,Clothing,366.86,FALSE,45.92,4802.4
,belt,Sports Equipment,4029.63,FALSE,75.13,1199.54
,watch,Electronics,483.44,FALSE,43.96,2682.56
,socks,Sports Equipment,3634,FALSE,39.34,102.86
,belt,Books,1257.8,TRUE,7.75,1877.3
,socks,Electronics,583.71,TRUE,68.74,4258.14
,belt,Home Decor,756.3,FALSE,4.28,899.72
,belt,Home Decor,830.49,TRUE,78.34,1683.51
,watch,Sports Equipment,3801.61,FALSE,36.11,126.76
,jacket,Home Decor,1085.05,FALSE,16,503.19
,scarf,Toys,650.72,FALSE,50.43,2078.8
,shirt,Books,2574.63,TRUE,34.4,4248.76
,hat,Sports Equipment,68.11,FALSE,14.52,3198.2
,belt,Toys,1624.13,TRUE,90.83,1566.56
,belt,Electronics,311.44,FALSE,73.06,4820.87
,gloves,Toys,1857.39,FALSE,7.34,4354.95
,belt,Sports Equipment,4061.3,TRUE,99.33,3878.71
,belt,Home Decor,842.79,FALSE,86.09,553.13
,jacket,Clothing,4379.17,TRUE,97.24,1690.88
,jacket,Electronics,749.43,TRUE,92.83,3058.98
,hat,Toys,2316.03,TRUE,99.3,2165.52
,hat,Books,743.01,FALSE,27.78,1068.99
,scarf,Home Decor,3388.34,TRUE,19.53,651.74
,shoes,Toys,627.22,TRUE,22.31,3672.92
,shirt,Clothing,2040.09,FALSE,46.81,4650.41
,shirt,Sports Equipment,4541.67,FALSE,48.22,3208.83
,belt,Home Decor,3830,TRUE,2.05,105.76
,pants,Electronics,1421.68,TRUE,19.33,2573.43
,hat,Toys,3310.02,FALSE,48.41,2407.28
,shirt,Toys,3113.4,TRUE,34.36,4322.15
,hat,Electronics,3891.33,TRUE,55.17,3153.65
,pants,Toys,435.25,FALSE,93.9,2961.5
,gloves,Toys,2271.63,FALSE,29.8,442.42
,belt,Electronics,2064.35,TRUE,18.34,2313.41
,jacket,Toys,1163.48,FALSE,33.83,4462.59
,gloves,Sports Equipment,249.66,TRUE,61.29,3618.05
,hat,Books,1255.76,FALSE,63.52,1854.83
,gloves,Sports Equipment,4854.12,TRUE,23.25,2330.45
,socks,Sports Equipment,4629.6,TRUE,25.94,2551.78
,shoes,Sports Equipment,20.51,FALSE,30.18,4432.95
,scarf,Books,4761.16,FALSE,26.17,4970.98
,shoes,Electronics,1693.82,TRUE,97.45,973.7
,belt,Clothing,1433.29,FALSE,98.08,1857.61
,shirt,Sports Equipment,363.52,FALSE,41.26,2737.86
,pants,Clothing,1020.96,TRUE,61.32,4398.94
,watch,Electronics,1765.27,TRUE,67.64,444.61
,shirt,Sports Equipment,4663.15,TRUE,14.88,1239.83
,shirt,Books,4606.06,FALSE,44.01,2183.85
,scarf,Electronics,303.53,FALSE,39.35,3838.47
,jacket,Home Decor,4051.77,TRUE,1.58,2657.4
,shirt,Electronics,3468.2,TRUE,37.72,323.97
